pointModel__indoorLevel,pointModel__lat,pointModel__long,beaconDataList__name,beaconDataList__uuid,beaconDataList__macAddress,beaconDataList__major,beaconDataList__minor,beaconDataList__distance,beaconDataList__proximity,beaconDataList__rssi,beaconDataList__txPower,beaconDataList__scanTime
0,36.89834535,30.64736529,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.04,Near,-65,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,1.16,Near,-59,-60,3/11/2022 11:35
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.66,Near,-62,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.04,Near,-65,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.17,Near,-68,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.15,Near,-64,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.06,Near,-77,-60,3/11/2022 11:35
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.1,Near,-59,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,1.09,Near,-61,-60,3/11/2022 11:35
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.68,Near,-74,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.06,Near,-77,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.12,Near,-62,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.21,Near,-70,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.07,Near,-72,-60,3/11/2022 11:35
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.1,Near,-70,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,1.06,Near,-60,-60,3/11/2022 11:35
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.63,Near,-62,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.07,Near,-72,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.18,Near,-76,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.22,Near,-61,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.07,Near,-70,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.14,Near,-71,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,1.02,Near,-59,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.63,Near,-75,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.07,Near,-70,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.18,Near,-65,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.25,Near,-68,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.09,Near,-57,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.15,Near,-68,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.98,Near,-56,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.62,Near,-65,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.09,Near,-57,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.19,Near,-65,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.26,Near,-71,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.11,Near,-71,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.15,Near,-64,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.96,Near,-57,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.63,Near,-65,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.11,Near,-71,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.18,Near,-62,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.26,Near,-64,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.14,Near,-68,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.18,Near,-63,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.87,Near,-56,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.79,Near,-82,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.14,Near,-68,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.19,Near,-62,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.27,Near,-62,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.13,Near,-62,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.16,Near,-62,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.81,Near,-57,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.77,Near,-62,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.13,Near,-62,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.17,Near,-62,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.27,Near,-66,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.13,Near,-60,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.2,Near,-65,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.82,Near,-62,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.76,Near,-69,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.13,Near,-60,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.23,Near,-69,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.22,Near,-61,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.14,Near,-61,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.24,Near,-63,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.8,Near,-56,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.73,Near,-64,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.14,Near,-61,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.26,Near,-59,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.23,Near,-64,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.12,Near,-58,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.24,Near,-66,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.82,Near,-62,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.74,Near,-72,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.12,Near,-58,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.28,Near,-74,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.2,Near,-61,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.13,Near,-63,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.29,Near,-77,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.79,Near,-55,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.71,Near,-72,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.13,Near,-63,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.3,Near,-66,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.18,Near,-64,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.14,Near,-62,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.35,Near,-65,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.75,Near,-55,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.7,Near,-64,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.14,Near,-62,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.27,Near,-58,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.18,Near,-62,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.13,Near,-66,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.73,Near,-55,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.65,Near,-72,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.13,Near,-66,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.29,Near,-71,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.18,Near,-69,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.16,Near,-64,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.45,Near,-85,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.73,Near,-55,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.64,Near,-67,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.16,Near,-64,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.36,Near,-76,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.2,Near,-60,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.18,Near,-64,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.44,Near,-64,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.69,Near,-55,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.66,Near,-67,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.18,Near,-64,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.33,Near,-59,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.19,Near,-59,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.15,Near,-56,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.48,Near,-70,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.68,Near,-62,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.15,Near,-56,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.37,Near,-68,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.18,Near,-62,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.17,Near,-69,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.43,Near,-65,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.6,Near,-69,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.17,Near,-69,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.37,Near,-61,-60,3/11/2022 11:36
